,,,,,Monthly,,,,,,,,Annual,,,,,,,,Rankings,,,,
613,IL,17033,Crawford County,2p3c,989,1022,1711,2514,712,1058,1186,9191,"$11,868","$12,264","$20,532","$30,168","$8,544","$12,696","$14,232","$110,292","  72,935 ",102,49,38,64
613,IL,17033,Crawford County,2p4c,989,1251,1770,2902,793,1058,1448,10211,"$11,868","$15,012","$21,240","$34,824","$9,516","$12,696","$17,376","$122,532","  72,935 ",102,49,38,64
614,IL,17035,Cumberland County,1p0c,531,310,1233,599,298,0,598,3568,"$6,372","$3,720","$14,796","$7,188","$3,576",$0,"$7,176","$42,816","  83,201 ",102,59,79,29
614,IL,17035,Cumberland County,1p1c,774,457,1502,942,436,640,773,5524,"$9,288","$5,484","$18,024","$11,304","$5,232","$7,680","$9,276","$66,288","  83,201 ",102,59,79,29
614,IL,17035,Cumberland County,1p2c,774,669,1719,1285,511,959,925,6842,"$9,288","$8,028","$20,628","$15,420","$6,132","$11,508","$11,100","$82,104","  83,201 ",102,59,79,29
614,IL,17035,Cumberland County,1p3c,942,893,1825,1627,650,1058,1150,8145,"$11,304","$10,716","$21,900","$19,524","$7,800","$12,696","$13,800","$97,740","  83,201 ",102,59,79,29
614,IL,17035,Cumberland County,1p4c,942,1094,1901,1970,721,1058,1423,9108,"$11,304","$13,128","$22,812","$23,640","$8,652","$12,696","$17,076","$109,296","  83,201 ",102,59,79,29
614,IL,17035,Cumberland County,2p0c,588,569,1436,1199,410,0,761,4962,"$7,056","$6,828","$17,232","$14,388","$4,920",$0,"$9,132","$59,544","  83,201 ",102,59,79,29
614,IL,17035,Cumberland County,2p1c,774,708,1644,1541,525,640,966,6797,"$9,288","$8,496","$19,728","$18,492","$6,300","$7,680","$11,592","$81,564","  83,201 ",102,59,79,29
614,IL,17035,Cumberland County,2p2c,774,896,1743,1884,591,959,1010,7857,"$9,288","$10,752","$20,916","$22,608","$7,092","$11,508","$12,120","$94,284","  83,201 ",102,59,79,29
614,IL,17035,Cumberland County,2p3c,942,1094,1814,2227,721,1058,1133,8988,"$11,304","$13,128","$21,768","$26,724","$8,652","$12,696","$13,596","$107,856","  83,201 ",102,59,79,29
614,IL,17035,Cumberland County,2p4c,942,1339,1870,2569,808,1058,1383,9970,"$11,304","$16,068","$22,440","$30,828","$9,696","$12,696","$16,596","$119,640","  83,201 ",102,59,79,29
615,IL,17037,DeKalb County,1p0c,734,363,1043,566,388,0,628,3723,"$8,808","$4,356","$12,516","$6,792","$4,656",$0,"$7,536","$44,676","  71,244 ",102,6,31,22
615,IL,17037,DeKalb County,1p1c,1098,535,1344,898,578,1089,1018,6561,"$13,176","$6,420","$16,128","$10,776","$6,936","$13,068","$12,216","$78,732","  71,244 ",102,6,31,22
615,IL,17037,DeKalb County,1p2c,1098,783,1476,1230,666,1806,1365,8425,"$13,176","$9,396","$17,712","$14,760","$7,992","$21,672","$16,380","$101,100","  71,244 ",102,6,31,22
615,IL,17037,DeKalb County,1p3c,1560,1046,1565,1562,923,2027,1837,10520,"$18,720","$12,552","$18,780","$18,744","$11,076","$24,324","$22,044","$126,240","  71,244 ",102,6,31,22
615,IL,17037,DeKalb County,1p4c,1560,1281,1628,1894,1006,2027,2117,11514,"$18,720","$15,372","$19,536","$22,728","$12,072","$24,324","$25,404","$138,168","  71,244 ",102,6,31,22
615,IL,17037,DeKalb County,2p0c,846,666,1294,1133,535,0,830,5304,"$10,152","$7,992","$15,528","$13,596","$6,420",$0,"$9,960","$63,648","  71,244 ",102,6,31,22
615,IL,17037,DeKalb County,2p1c,1098,829,1420,1465,682,1089,1157,7740,"$13,176","$9,948","$17,040","$17,580","$8,184","$13,068","$13,884","$92,880","  71,244 ",102,6,31,22
615,IL,17037,DeKalb County,2p2c,1098,1049,1504,1797,760,1806,1367,9381,"$13,176","$12,588","$18,048","$21,564","$9,120","$21,672","$16,404","$112,572","  71,244 ",102,6,31,22
615,IL,17037,DeKalb County,2p3c,1560,1281,1563,2129,1006,2027,1766,11333,"$18,720","$15,372","$18,756","$25,548","$12,072","$24,324","$21,192","$135,996","  71,244 ",102,6,31,22
615,IL,17037,DeKalb County,2p4c,1560,1568,1678,2461,1108,2027,2067,12468,"$18,720","$18,816","$20,136","$29,532","$13,296","$24,324","$24,804","$149,616","  71,244 ",102,6,31,22
616,IL,17039,De Witt County,1p0c,531,319,1149,569,301,0,573,3442,"$6,372","$3,828","$13,788","$6,828","$3,612",$0,"$6,876","$41,304","  70,871 ",102,83,77,32
616,IL,17039,De Witt County,1p1c,774,470,1485,893,440,640,761,5463,"$9,288","$5,640","$17,820","$10,716","$5,280","$7,680","$9,132","$65,556","  70,871 ",102,83,77,32
616,IL,17039,De Witt County,1p2c,774,687,1636,1218,517,959,880,6672,"$9,288","$8,244","$19,632","$14,616","$6,204","$11,508","$10,560","$80,064","  70,871 ",102,83,77,32
616,IL,17039,De Witt County,1p3c,1100,917,1740,1542,714,1058,1181,8253,"$13,200","$11,004","$20,880","$18,504","$8,568","$12,696","$14,172","$99,036","  70,871 ",102,83,77,32
616,IL,17039,De Witt County,1p4c,1100,1123,1814,1867,787,1058,1449,9198,"$13,200","$13,476","$21,768","$22,404","$9,444","$12,696","$17,388","$110,376","  70,871 ",102,83,77,32
616,IL,17039,De Witt County,2p0c,589,584,1425,1138,415,0,749,4900,"$7,068","$7,008","$17,100","$13,656","$4,980",$0,"$8,988","$58,800","  70,871 ",102,83,77,32
616,IL,17039,De Witt County,2p1c,774,727,1568,1462,531,640,933,6635,"$9,288","$8,724","$18,816","$17,544","$6,372","$7,680","$11,196","$79,620","  70,871 ",102,83,77,32
616,IL,17039,De Witt County,2p2c,774,920,1665,1787,600,959,973,7678,"$9,288","$11,040","$19,980","$21,444","$7,200","$11,508","$11,676","$92,136","  70,871 ",102,83,77,32
616,IL,17039,De Witt County,2p3c,1100,1124,1734,2111,787,1058,1153,9067,"$13,200","$13,488","$20,808","$25,332","$9,444","$12,696","$13,836","$108,804","  70,871 ",102,83,77,32
616,IL,17039,De Witt County,2p4c,1100,1375,1788,2436,876,1058,1401,10034,"$13,200","$16,500","$21,456","$29,232","$10,512","$12,696","$16,812","$120,408","  70,871 ",102,83,77,32
617,IL,17041,Douglas County,1p0c,652,310,1165,599,341,0,622,3689,"$7,824","$3,720","$13,980","$7,188","$4,092",$0,"$7,464","$44,268","  117,059 ",102,61,62,38
617,IL,17041,Douglas County,1p1c,820,457,1435,942,452,640,772,5518,"$9,840","$5,484","$17,220","$11,304","$5,424","$7,680","$9,264","$66,216","  117,059 ",102,61,62,38
617,IL,17041,Douglas County,1p2c,820,669,1648,1285,527,959,922,6830,"$9,840","$8,028","$19,776","$15,420","$6,324","$11,508","$11,064","$81,960","  117,059 ",102,61,62,38
617,IL,17041,Douglas County,1p3c,1072,893,1751,1627,696,1058,1191,8288,"$12,864","$10,716","$21,012","$19,524","$8,352","$12,696","$14,292","$99,456","  117,059 ",102,61,62,38
617,IL,17041,Douglas County,1p4c,1072,1094,1825,1970,767,1058,1465,9250,"$12,864","$13,128","$21,900","$23,640","$9,204","$12,696","$17,580","$111,000","  117,059 ",102,61,62,38
617,IL,17041,Douglas County,2p0c,656,569,1374,1199,434,0,769,5000,"$7,872","$6,828","$16,488","$14,388","$5,208",$0,"$9,228","$60,000","  117,059 ",102,61,62,38
617,IL,17041,Douglas County,2p1c,820,708,1578,1541,541,640,965,6793,"$9,840","$8,496","$18,936","$18,492","$6,492","$7,680","$11,580","$81,516","  117,059 ",102,61,62,38
617,IL,17041,Douglas County,2p2c,820,896,1675,1884,607,959,1009,7850,"$9,840","$10,752","$20,100","$22,608","$7,284","$11,508","$12,108","$94,200","  117,059 ",102,61,62,38
617,IL,17041,Douglas County,2p3c,1072,1094,1744,2227,767,1058,1170,9131,"$12,864","$13,128","$20,928","$26,724","$9,204","$12,696","$14,040","$109,572","  117,059 ",102,61,62,38
617,IL,17041,Douglas County,2p4c,1072,1339,1799,2569,854,1058,1422,10112,"$12,864","$16,068","$21,588","$30,828","$10,248","$12,696","$17,064","$121,344","  117,059 ",102,61,62,38
618,IL,17043,DuPage County,1p0c,1340,391,1057,397,613,0,826,4624,"$16,080","$4,692","$12,684","$4,764","$7,356",$0,"$9,912","$55,488","  66,862 ",102,1,98,1
618,IL,17043,DuPage County,1p1c,1666,577,1313,628,794,1089,1213,7280,"$19,992","$6,924","$15,756","$7,536","$9,528","$13,068","$14,556","$87,360","  66,862 ",102,1,98,1
618,IL,17043,DuPage County,1p2c,1666,844,1443,859,889,1806,1538,9045,"$19,992","$10,128","$17,316","$10,308","$10,668","$21,672","$18,456","$108,540","  66,862 ",102,1,98,1
618,IL,17043,DuPage County,1p3c,2114,1126,1593,1090,1147,2027,2006,11104,"$25,368","$13,512","$19,116","$13,080","$13,764","$24,324","$24,072","$133,248","  66,862 ",102,1,98,1
618,IL,17043,DuPage County,1p4c,2114,1379,1655,1321,1237,2027,2222,11956,"$25,368","$16,548","$19,860","$15,852","$14,844","$24,324","$26,664","$143,472","  66,862 ",102,1,98,1
618,IL,17043,DuPage County,2p0c,1452,717,1271,795,768,0,963,5966,"$17,424","$8,604","$15,252","$9,540","$9,216",$0,"$11,556","$71,592","  66,862 ",102,1,98,1
618,IL,17043,DuPage County,2p1c,1666,893,1395,1026,906,1089,1257,8231,"$19,992","$10,716","$16,740","$12,312","$10,872","$13,068","$15,084","$98,772","  66,862 ",102,1,98,1
618,IL,17043,DuPage County,2p2c,1666,1130,1541,1257,990,1806,1503,9892,"$19,992","$13,560","$18,492","$15,084","$11,880","$21,672","$18,036","$118,704","  66,862 ",102,1,98,1
618,IL,17043,DuPage County,2p3c,2114,1380,1600,1488,1237,2027,1876,11721,"$25,368","$16,560","$19,200","$17,856","$14,844","$24,324","$22,512","$140,652","  66,862 ",102,1,98,1
618,IL,17043,DuPage County,2p4c,2114,1689,1646,1719,1346,2027,2121,12663,"$25,368","$20,268","$19,752","$20,628","$16,152","$24,324","$25,452","$151,956","  66,862 ",102,1,98,1
619,IL,17045,Edgar County,1p0c,531,311,1100,599,298,0,566,3406,"$6,372","$3,732","$13,200","$7,188","$3,576",$0,"$6,792","$40,872","  72,826 ",102,82,21,89
619,IL,17045,Edgar County,1p1c,774,459,1360,942,436,640,737,5348,"$9,288","$5,508","$16,320","$11,304","$5,232","$7,680","$8,844","$64,176","  72,826 ",102,82,21,89
619,IL,17045,Edgar County,1p2c,774,671,1568,1285,512,959,871,6639,"$9,288","$8,052","$18,816","$15,420","$6,144","$11,508","$10,452","$79,668","  72,826 ",102,82,21,89
619,IL,17045,Edgar County,1p3c,964,896,1671,1627,658,1058,1101,7976,"$11,568","$10,752","$20,052","$19,524","$7,896","$12,696","$13,212","$95,712","  72,826 ",102,82,21,89
619,IL,17045,Edgar County,1p4c,964,1097,1746,1970,730,1058,1372,8936,"$11,568","$13,164","$20,952","$23,640","$8,760","$12,696","$16,464","$107,232","  72,826 ",102,82,21,89
619,IL,17045,Edgar County,2p0c,685,570,1303,1199,444,0,762,4963,"$8,220","$6,840","$15,636","$14,388","$5,328",$0,"$9,144","$59,556","  72,826 ",102,82,21,89
619,IL,17045,Edgar County,2p1c,774,710,1502,1541,525,640,931,6623,"$9,288","$8,520","$18,024","$18,492","$6,300","$7,680","$11,172","$79,476","  72,826 ",102,82,21,89
619,IL,17045,Edgar County,2p2c,774,898,1599,1884,592,959,973,7680,"$9,288","$10,776","$19,188","$22,608","$7,104","$11,508","$11,676","$92,160","  72,826 ",102,82,21,89
619,IL,17045,Edgar County,2p3c,964,1097,1668,2227,730,1058,1094,8838,"$11,568","$13,164","$20,016","$26,724","$8,760","$12,696","$13,128","$106,056","  72,826 ",102,82,21,89
619,IL,17045,Edgar County,2p4c,964,1343,1724,2569,817,1058,1343,9818,"$11,568","$16,116","$20,688","$30,828","$9,804","$12,696","$16,116","$117,816","  72,826 ",102,82,21,89
620,IL,17047,Edwards County,1p0c,531,293,1184,675,292,0,599,3574,"$6,372","$3,516","$14,208","$8,100","$3,504",$0,"$7,188","$42,888","  75,177 ",102,32,20,81
620,IL,17047,Edwards County,1p1c,774,432,1475,1063,427,640,789,5600,"$9,288","$5,184","$17,700","$12,756","$5,124","$7,680","$9,468","$67,200","  75,177 ",102,32,20,81
620,IL,17047,Edwards County,1p2c,774,633,1703,1451,498,959,962,6981,"$9,288","$7,596","$20,436","$17,412","$5,976","$11,508","$11,544","$83,772","  75,177 ",102,32,20,81
620,IL,17047,Edwards County,1p3c,1017,845,1818,1839,659,1058,1246,8483,"$12,204","$10,140","$21,816","$22,068","$7,908","$12,696","$14,952","$101,796","  75,177 ",102,32,20,81
620,IL,17047,Edwards County,1p4c,1017,1035,1900,2227,726,1058,1539,9502,"$12,204","$12,420","$22,800","$26,724","$8,712","$12,696","$18,468","$114,024","  75,177 ",102,32,20,81
620,IL,17047,Edwards County,2p0c,651,538,1411,1350,421,0,804,5175,"$7,812","$6,456","$16,932","$16,200","$5,052",$0,"$9,648","$62,100","  75,177 ",102,32,20,81
620,IL,17047,Edwards County,2p1c,774,670,1629,1738,511,640,999,6961,"$9,288","$8,040","$19,548","$20,856","$6,132","$7,680","$11,988","$83,532","  75,177 ",102,32,20,81
620,IL,17047,Edwards County,2p2c,774,847,1737,2126,574,959,1054,8072,"$9,288","$10,164","$20,844","$25,512","$6,888","$11,508","$12,648","$96,864","  75,177 ",102,32,20,81
620,IL,17047,Edwards County,2p3c,1017,1035,1813,2514,726,1058,1241,9405,"$12,204","$12,420","$21,756","$30,168","$8,712","$12,696","$14,892","$112,860","  75,177 ",102,32,20,81
620,IL,17047,Edwards County,2p4c,1017,1267,1875,2902,809,1058,1509,10436,"$12,204","$15,204","$22,500","$34,824","$9,708","$12,696","$18,108","$125,232","  75,177 ",102,32,20,81
621,IL,17049,Effingham County,1p0c,599,319,1151,675,325,0,622,3692,"$7,188","$3,828","$13,812","$8,100","$3,900",$0,"$7,464","$44,304","  59,388 ",102,34,74,27
621,IL,17049,Effingham County,1p1c,774,471,1406,1063,441,640,784,5579,"$9,288","$5,652","$16,872","$12,756","$5,292","$7,680","$9,408","$66,948","  59,388 ",102,34,74,27
621,IL,17049,Effingham County,1p2c,774,689,1609,1451,518,959,955,6956,"$9,288","$8,268","$19,308","$17,412","$6,216","$11,508","$11,460","$83,472","  59,388 ",102,34,74,27
621,IL,17049,Effingham County,1p3c,1100,920,1706,1839,715,1058,1287,8625,"$13,200","$11,040","$20,472","$22,068","$8,580","$12,696","$15,444","$103,500","  59,388 ",102,34,74,27
621,IL,17049,Effingham County,1p4c,1100,1126,1775,2227,788,1058,1586,9660,"$13,200","$13,512","$21,300","$26,724","$9,456","$12,696","$19,032","$115,920","  59,388 ",102,34,74,27
621,IL,17049,Effingham County,2p0c,603,586,1347,1350,421,0,788,5095,"$7,236","$7,032","$16,164","$16,200","$5,052",$0,"$9,456","$61,140","  59,388 ",102,34,74,27
621,IL,17049,Effingham County,2p1c,774,729,1541,1738,532,640,998,6952,"$9,288","$8,748","$18,492","$20,856","$6,384","$7,680","$11,976","$83,424","  59,388 ",102,34,74,27
621,IL,17049,Effingham County,2p2c,774,922,1632,2126,601,959,1054,8068,"$9,288","$11,064","$19,584","$25,512","$7,212","$11,508","$12,648","$96,816","  59,388 ",102,34,74,27
621,IL,17049,Effingham County,2p3c,1100,1127,1697,2514,788,1058,1284,9568,"$13,200","$13,524","$20,364","$30,168","$9,456","$12,696","$15,408","$114,816","  59,388 ",102,34,74,27
621,IL,17049,Effingham County,2p4c,1100,1379,1748,2902,878,1058,1561,10626,"$13,200","$16,548","$20,976","$34,824","$10,536","$12,696","$18,732","$127,512","  59,388 ",102,34,74,27
622,IL,17051,Fayette County,1p0c,567,305,1189,675,309,0,616,3660,"$6,804","$3,660","$14,268","$8,100","$3,708",$0,"$7,392","$43,920","  68,558 ",102,29,7,93
622,IL,17051,Fayette County,1p1c,774,449,1458,1063,433,640,790,5607,"$9,288","$5,388","$17,496","$12,756","$5,196","$7,680","$9,480","$67,284","  68,558 ",102,29,7,93
622,IL,17051,Fayette County,1p2c,774,657,1675,1451,507,959,963,6986,"$9,288","$7,884","$20,100","$17,412","$6,084","$11,508","$11,556","$83,832","  68,558 ",102,29,7,93
622,IL,17051,Fayette County,1p3c,951,877,1782,1839,647,1058,1214,8368,"$11,412","$10,524","$21,384","$22,068","$7,764","$12,696","$14,568","$100,416","  68,558 ",102,29,7,93
622,IL,17051,Fayette County,1p4c,951,1074,1859,2227,717,1058,1507,9392,"$11,412","$12,888","$22,308","$26,724","$8,604","$12,696","$18,084","$112,704","  68,558 ",102,29,7,93
622,IL,17051,Fayette County,2p0c,670,558,1394,1350,435,0,813,5221,"$8,040","$6,696","$16,728","$16,200","$5,220",$0,"$9,756","$62,652","  68,558 ",102,29,7,93
622,IL,17051,Fayette County,2p1c,774,695,1601,1738,520,640,1001,6969,"$9,288","$8,340","$19,212","$20,856","$6,240","$7,680","$12,012","$83,628","  68,558 ",102,29,7,93
622,IL,17051,Fayette County,2p2c,774,879,1701,2126,585,959,1056,8082,"$9,288","$10,548","$20,412","$25,512","$7,020","$11,508","$12,672","$96,984","  68,558 ",102,29,7,93
622,IL,17051,Fayette County,2p3c,951,1074,1773,2514,717,1058,1214,9302,"$11,412","$12,888","$21,276","$30,168","$8,604","$12,696","$14,568","$111,624","  68,558 ",102,29,7,93
622,IL,17051,Fayette County,2p4c,951,1315,1831,2902,802,1058,1484,10343,"$11,412","$15,780","$21,972","$34,824","$9,624","$12,696","$17,808","$124,116","  68,558 ",102,29,7,93
623,IL,17053,Ford County,1p0c,595,346,1101,599,333,0,599,3574,"$7,140","$4,152","$13,212","$7,188","$3,996",$0,"$7,188","$42,888","  55,996 ",102,47,43,50.5
623,IL,17053,Ford County,1p1c,792,511,1453,942,461,640,785,5584,"$9,504","$6,132","$17,436","$11,304","$5,532","$7,680","$9,420","$67,008","  55,996 ",102,47,43,50.5
623,IL,17053,Ford County,1p2c,792,747,1613,1285,545,959,934,6875,"$9,504","$8,964","$19,356","$15,420","$6,540","$11,508","$11,208","$82,500","  55,996 ",102,47,43,50.5
623,IL,17053,Ford County,1p3c,964,998,1721,1627,695,1058,1177,8240,"$11,568","$11,976","$20,652","$19,524","$8,340","$12,696","$14,124","$98,880","  55,996 ",102,47,43,50.5
623,IL,17053,Ford County,1p4c,964,1222,1798,1970,774,1058,1465,9250,"$11,568","$14,664","$21,576","$23,640","$9,288","$12,696","$17,580","$111,000","  55,996 ",102,47,43,50.5
623,IL,17053,Ford County,2p0c,607,635,1395,1199,440,0,780,5056,"$7,284","$7,620","$16,740","$14,388","$5,280",$0,"$9,360","$60,672","  55,996 ",102,47,43,50.5
623,IL,17053,Ford County,2p1c,792,791,1546,1541,560,640,976,6845,"$9,504","$9,492","$18,552","$18,492","$6,720","$7,680","$11,712","$82,140","  55,996 ",102,47,43,50.5
623,IL,17053,Ford County,2p2c,792,1000,1647,1884,635,959,1028,7946,"$9,504","$12,000","$19,764","$22,608","$7,620","$11,508","$12,336","$95,352","  55,996 ",102,47,43,50.5
623,IL,17053,Ford County,2p3c,964,1222,1719,2227,774,1058,1171,9134,"$11,568","$14,664","$20,628","$26,724","$9,288","$12,696","$14,052","$109,608","  55,996 ",102,47,43,50.5
623,IL,17053,Ford County,2p4c,964,1496,1848,2569,871,1058,1464,10270,"$11,568","$17,952","$22,176","$30,828","$10,452","$12,696","$17,568","$123,240","  55,996 ",102,47,43,50.5
624,IL,17055,Franklin County,1p0c,518,297,1079,675,289,0,571,3428,"$6,216","$3,564","$12,948","$8,100","$3,468",$0,"$6,852","$41,136","  65,026 ",102,51,3,100
624,IL,17055,Franklin County,1p1c,774,438,1348,1063,429,640,758,5450,"$9,288","$5,256","$16,176","$12,756","$5,148","$7,680","$9,096","$65,400","  65,026 ",102,51,3,100
624,IL,17055,Franklin County,1p2c,774,641,1560,1451,501,959,914,6801,"$9,288","$7,692","$18,720","$17,412","$6,012","$11,508","$10,968","$81,612","  65,026 ",102,51,3,100
624,IL,17055,Franklin County,1p3c,972,856,1669,1839,647,1058,1168,8208,"$11,664","$10,272","$20,028","$22,068","$7,764","$12,696","$14,016","$98,496","  65,026 ",102,51,3,100
624,IL,17055,Franklin County,1p4c,972,1048,1746,2227,715,1058,1456,9222,"$11,664","$12,576","$20,952","$26,724","$8,580","$12,696","$17,472","$110,664","  65,026 ",102,51,3,100
624,IL,17055,Franklin County,2p0c,588,545,1290,1350,401,0,755,4929,"$7,056","$6,540","$15,480","$16,200","$4,812",$0,"$9,060","$59,148","  65,026 ",102,51,3,100
624,IL,17055,Franklin County,2p1c,774,678,1494,1738,514,640,968,6805,"$9,288","$8,136","$17,928","$20,856","$6,168","$7,680","$11,616","$81,660","  65,026 ",102,51,3,100
624,IL,17055,Franklin County,2p2c,774,858,1594,2126,578,959,1021,7911,"$9,288","$10,296","$19,128","$25,512","$6,936","$11,508","$12,252","$94,932","  65,026 ",102,51,3,100
624,IL,17055,Franklin County,2p3c,972,1048,1666,2514,715,1058,1174,9148,"$11,664","$12,576","$19,992","$30,168","$8,580","$12,696","$14,088","$109,776","  65,026 ",102,51,3,100
624,IL,17055,Franklin County,2p4c,972,1283,1724,2902,798,1058,1439,10176,"$11,664","$15,396","$20,688","$34,824","$9,576","$12,696","$17,268","$122,112","  65,026 ",102,51,3,100
625,IL,17057,Fulton County,1p0c,622,334,1129,593,339,0,609,3626,"$7,464","$4,008","$13,548","$7,116","$4,068",$0,"$7,308","$43,512","  57,171 ",102,46,19,85
625,IL,17057,Fulton County,1p1c,824,493,1389,942,466,641,774,5528,"$9,888","$5,916","$16,668","$11,304","$5,592","$7,692","$9,288","$66,336","  57,171 ",102,46,19,85
625,IL,17057,Fulton County,1p2c,824,721,1598,1290,547,999,947,6927,"$9,888","$8,652","$19,176","$15,480","$6,564","$11,988","$11,364","$83,124","  57,171 ",102,46,19,85
625,IL,17057,Fulton County,1p3c,1014,963,1702,1638,700,1110,1203,8329,"$12,168","$11,556","$20,424","$19,656","$8,400","$13,320","$14,436","$99,948","  57,171 ",102,46,19,85
625,IL,17057,Fulton County,1p4c,1014,1179,1777,1986,776,1110,1488,9331,"$12,168","$14,148","$21,324","$23,832","$9,312","$13,320","$17,856","$111,972","  57,171 ",102,46,19,85
625,IL,17057,Fulton County,2p0c,626,613,1330,1187,439,0,760,4953,"$7,512","$7,356","$15,960","$14,244","$5,268",$0,"$9,120","$59,436","  57,171 ",102,46,19,85
625,IL,17057,Fulton County,2p1c,824,763,1529,1535,562,641,972,6826,"$9,888","$9,156","$18,348","$18,420","$6,744","$7,692","$11,664","$81,912","  57,171 ",102,46,19,85
625,IL,17057,Fulton County,2p2c,824,965,1627,1883,634,999,1032,7964,"$9,888","$11,580","$19,524","$22,596","$7,608","$11,988","$12,384","$95,568","  57,171 ",102,46,19,85
625,IL,17057,Fulton County,2p3c,1014,1179,1696,2231,777,1110,1186,9194,"$12,168","$14,148","$20,352","$26,772","$9,324","$13,320","$14,232","$110,328","  57,171 ",102,46,19,85
625,IL,17057,Fulton County,2p4c,1014,1444,1752,2580,870,1110,1451,10220,"$12,168","$17,328","$21,024","$30,960","$10,440","$13,320","$17,412","$122,640","  57,171 ",102,46,19,85
626,IL,17059,Gallatin County,1p0c,531,298,1184,675,294,0,600,3582,"$6,372","$3,576","$14,208","$8,100","$3,528",$0,"$7,200","$42,984","  60,583 ",102,23,4,98
626,IL,17059,Gallatin County,1p1c,774,439,1487,1063,430,640,794,5627,"$9,288","$5,268","$17,844","$12,756","$5,160","$7,680","$9,528","$67,524","  60,583 ",102,23,4,98
626,IL,17059,Gallatin County,1p2c,774,643,1725,1451,502,959,975,7029,"$9,288","$7,716","$20,700","$17,412","$6,024","$11,508","$11,700","$84,348","  60,583 ",102,23,4,98
626,IL,17059,Gallatin County,1p3c,1044,858,1847,1839,674,1058,1280,8599,"$12,528","$10,296","$22,164","$22,068","$8,088","$12,696","$15,360","$103,188","  60,583 ",102,23,4,98
626,IL,17059,Gallatin County,1p4c,1044,1051,1934,2227,742,1058,1578,9633,"$12,528","$12,612","$23,208","$26,724","$8,904","$12,696","$18,936","$115,596","  60,583 ",102,23,4,98
626,IL,17059,Gallatin County,2p0c,661,546,1421,1350,427,0,813,5219,"$7,932","$6,552","$17,052","$16,200","$5,124",$0,"$9,756","$62,628","  60,583 ",102,23,4,98
626,IL,17059,Gallatin County,2p1c,774,680,1648,1738,515,640,1008,7003,"$9,288","$8,160","$19,776","$20,856","$6,180","$7,680","$12,096","$84,036","  60,583 ",102,23,4,98
626,IL,17059,Gallatin County,2p2c,774,861,1762,2126,579,959,1065,8126,"$9,288","$10,332","$21,144","$25,512","$6,948","$11,508","$12,780","$97,512","  60,583 ",102,23,4,98
626,IL,17059,Gallatin County,2p3c,1044,1051,1843,2514,742,1058,1273,9525,"$12,528","$12,612","$22,116","$30,168","$8,904","$12,696","$15,276","$114,300","  60,583 ",102,23,4,98
626,IL,17059,Gallatin County,2p4c,1044,1287,1908,2902,825,1058,1546,10570,"$12,528","$15,444","$22,896","$34,824","$9,900","$12,696","$18,552","$126,840","  60,583 ",102,23,4,98
627,IL,17061,Greene County,1p0c,541,292,1204,572,295,0,581,3484,"$6,492","$3,504","$14,448","$6,864","$3,540",$0,"$6,972","$41,808","  90,141 ",102,87,22,88
627,IL,17061,Greene County,1p1c,789,430,1467,898,431,640,749,5403,"$9,468","$5,160","$17,604","$10,776","$5,172","$7,680","$8,988","$64,836","  90,141 ",102,87,22,88
627,IL,17061,Greene County,1p2c,789,629,1679,1224,502,959,876,6659,"$9,468","$7,548","$20,148","$14,688","$6,024","$11,508","$10,512","$79,908","  90,141 ",102,87,22,88
627,IL,17061,Greene County,1p3c,960,839,1783,1551,637,1058,1082,7910,"$11,520","$10,068","$21,396","$18,612","$7,644","$12,696","$12,984","$94,920","  90,141 ",102,87,22,88
627,IL,17061,Greene County,1p4c,960,1028,1857,1877,704,1058,1338,8822,"$11,520","$12,336","$22,284","$22,524","$8,448","$12,696","$16,056","$105,864","  90,141 ",102,87,22,88
627,IL,17061,Greene County,2p0c,599,534,1402,1144,401,0,731,4812,"$7,188","$6,408","$16,824","$13,728","$4,812",$0,"$8,772","$57,744","  90,141 ",102,87,22,88
627,IL,17061,Greene County,2p1c,789,665,1605,1470,515,640,928,6613,"$9,468","$7,980","$19,260","$17,640","$6,180","$7,680","$11,136","$79,356","  90,141 ",102,87,22,88
627,IL,17061,Greene County,2p2c,789,842,1702,1796,577,959,963,7629,"$9,468","$10,104","$20,424","$21,552","$6,924","$11,508","$11,556","$91,548","  90,141 ",102,87,22,88
627,IL,17061,Greene County,2p3c,960,1028,1772,2122,704,1058,1060,8704,"$11,520","$12,336","$21,264","$25,464","$8,448","$12,696","$12,720","$104,448","  90,141 ",102,87,22,88
627,IL,17061,Greene County,2p4c,960,1259,1827,2449,786,1058,1294,9632,"$11,520","$15,108","$21,924","$29,388","$9,432","$12,696","$15,528","$115,584","  90,141 ",102,87,22,88
628,IL,17063,Grundy County,1p0c,848,353,1132,387,425,0,641,3787,"$10,176","$4,236","$13,584","$4,644","$5,100",$0,"$7,692","$45,444","  64,124 ",102,54,100,9
628,IL,17063,Grundy County,1p1c,1247,520,1414,612,626,641,852,5912,"$14,964","$6,240","$16,968","$7,344","$7,512","$7,692","$10,224","$70,944","  64,124 ",102,54,100,9
628,IL,17063,Grundy County,1p2c,1247,761,1559,837,711,999,998,7113,"$14,964","$9,132","$18,708","$10,044","$8,532","$11,988","$11,976","$85,356","  64,124 ",102,54,100,9
628,IL,17063,Grundy County,1p3c,1596,1017,1656,1062,925,1110,1299,8665,"$19,152","$12,204","$19,872","$12,744","$11,100","$13,320","$15,588","$103,980","  64,124 ",102,54,100,9
